Title,Location,Price,Area
New New Star,"Global City, Virar West,Mumbai",₹3.9k,"1, 2 BHK Apartments"
VUB Shilpakala,"Garodia Nagar, Ghatkopar East,Mumbai",₹76.78k - 2.07 Cr,"2, 3 BHK Apartments"
Residential Plot for sale in Santacruz East,INK Grandioso,₹1.0 L,625 sq.mt
1 BHK Independent Builder Floor for sale in Bhandup West,Shraddha Marleshwar Society,₹1.0 L,500 sq.ft
2 BHK Independent Builder Floor for sale in Mumbai Central,"Mukri, Uran, Navi Mumbai,RTO Colony, Mumbai Central,Mumbai",₹1.0 L,1250 sq.ft
1 RK Villa for sale in Malabar Hill,Rahul,₹1.0 L,150 sq.ft
1 RK Independent House for sale in Sewri,"701 Mehandi nagar,Sewri, Mumbai",₹1.0 L,200 sq.ft
1 RK Villa for sale in Bandra West,Little Hut,₹1.0 L,150 sq.ft
Residential Plot for sale in Parel,Lalbaug Raja,₹1.0 L,3000 sq.ft
Residential Plot for sale in Mumbai Central,"RTO Colony, Mumbai Central,Mumbai",₹1.0 L,4000 sq.mt
1 RK Apartment for sale in Virar West,"Virar ,Agashi, Virar West,Mumbai",₹1.0 L,300 sq.ft
2 BHK Apartment for sale in Andheri West,"Hawana,Seven Bunglow, Andheri West,Mumbai",₹1.5 L,1050 sq.ft
2 BHK Independent Builder Floor for sale in Masjid Bandar,"Masjid Bandar West, Masjid Bandar,Mumbai",₹1.5 L,850 sq.ft
Residential Plot for sale in Vasai East,"kaman village,Vasai East Salt Plant, Vasai East,Mumbai",₹1.75 L,200 sq.ft
1 RK Independent House for sale in Mumbai Central,"RTO Colony, Mumbai Central,Mumbai",₹2.0 L,2000 sq.ft
1 RK Independent House for sale in Powai,West End Chandivali,₹2.0 L,300 sq.ft
1 BHK Apartment for sale in Nalasopara West,"Lakshmiben Chedda Nagar, Nalasopara West,Mumbai",₹2.1 L,500 sq.ft
1 BHK Apartment for sale in Goregaon West,"Goregaon West, Mumbai",₹2.1 L,320 sq.ft
Residential Plot for sale in Mumbai Central,"RTO Colony, Mumbai Central,Mumbai",₹2.43 L,1749 sq.ft
Residential Plot for sale in Mazgaon,"Mumbai Port Trust, Mazgaon,Mumbai",₹2.43 L,1749 sq.ft
